Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
26,0.019,0.307,0.267,1.341,1.000,57.328,57.657,0.132,0.461,0.266,0.533,57.521,0.272,0.399,57.521,0.272,0.399,0.333,0.268,0.213,98.204,-90.000,-146.446,1.245,1.565,1.257,57.460,0.198,0.266,0.110
27,0.273,2.450,1.102,0.573,1.000,59.041,60.227,0.395,1.779,0.266,0.533,59.465,1.146,0.399,59.465,1.146,0.399,0.802,0.624,0.333,-115.599,-1.107E-27,1.250E-27,1.286,2.409,1.873,59.173,0.461,0.266,0.110
28,0.015,0.258,0.212,1.487,1.000,55.746,56.076,0.593,0.791,0.266,0.533,55.931,0.692,0.399,55.931,0.692,0.399,0.333,0.249,0.202,87.923,90.000,-2.077,1.336,1.649,1.234,55.878,0.659,0.266,0.110
29,1.752,8.123,1.417,0.648,1.000,64.642,66.355,0.659,2.043,0.266,2.131,65.517,1.330,1.133,65.517,1.330,1.133,1.019,0.922,0.569,-14.392,-70.495,134.389,1.105,1.790,1.620,65.565,1.384,1.065,0.264
30,0.047,0.687,0.510,0.785,1.000,61.084,61.743,1.318,1.845,0.266,0.533,61.347,1.611,0.399,61.347,1.611,0.399,0.466,0.333,0.280,36.718,3.996E-27,90.000,1.398,1.660,1.188,61.150,1.450,0.266,0.110
31,0.096,1.168,0.548,0.654,1.000,62.072,62.797,1.318,1.845,0.266,0.799,62.451,1.561,0.550,62.451,1.561,0.550,0.528,0.445,0.246,22.250,5.401,-93.979,1.188,2.153,1.812,62.138,1.450,0.266,0.110
32,0.077,0.932,0.497,0.840,1.000,63.588,64.247,1.647,2.175,0.266,0.799,63.864,1.949,0.447,63.864,1.949,0.447,0.421,0.397,0.293,-167.399,-38.435,102.598,1.059,1.437,1.356,63.720,1.713,0.266,0.110
33,0.035,0.481,0.351,1.226,1.000,66.224,66.751,2.175,2.570,0.266,0.533,66.487,2.381,0.399,66.487,2.381,0.399,0.334,0.333,0.247,-6.173,-2.034E-27,90.000,1.003,1.354,1.350,66.421,2.306,0.266,0.110
34,6.180,21.013,2.600,0.466,1.000,23.327,25.699,2.833,4.876,0.266,4.527,24.513,3.831,2.181,24.513,3.831,2.181,2.199,1.039,0.933,-74.455,82.037,-160.927,2.116,2.357,1.114,24.447,3.756,1.864,0.395
35,2.378,8.842,1.309,0.925,1.000,10.675,12.190,6.655,8.105,0.266,2.397,11.446,7.405,1.328,11.446,7.405,1.328,1.185,0.764,0.704,-76.243,-80.230,-152.212,1.551,1.684,1.086,11.466,7.380,1.065,0.308
36,11.395,31.262,3.645,0.481,1.000,20.164,24.183,6.128,8.896,0.266,2.663,22.486,7.297,1.468,22.486,7.297,1.468,2.048,1.437,1.136,1.305,10.867,-47.969,1.425,1.802,1.265,21.811,6.655,1.332,0.308
37,41.317,143.038,16.025,0.066,-8.000,30.970,43.029,6.655,8.962,0.266,5.593,36.841,7.852,2.844,36.841,7.852,2.844,7.574,2.499,1.027,1.145,-6.477,81.542,3.031,7.376,2.434,36.901,7.578,1.864,0.395
38,2.041,8.211,1.263,0.851,1.000,28.400,29.916,7.182,8.500,0.266,2.397,29.076,7.841,1.130,29.076,7.841,1.130,1.103,0.796,0.653,-75.888,-81.868,179.648,1.386,1.691,1.220,28.862,7.710,1.065,0.308
39,0.448,3.393,1.016,0.580,1.500,29.916,31.497,7.578,8.434,0.266,1.332,30.695,8.151,0.532,30.695,8.151,0.532,0.922,0.516,0.418,8.043,-9.068,59.769,1.786,2.208,1.237,31.036,8.171,0.533,0.176
40,23.263,84.658,9.805,0.101,1.000,23.854,31.300,6.392,8.830,0.266,5.593,26.748,7.551,2.977,26.748,7.551,2.977,4.325,3.236,1.211,-3.702,9.578,-97.741,1.337,3.570,2.671,25.765,6.787,1.332,0.308
41,0.293,2.160,0.621,0.960,1.000,37.164,37.955,7.973,8.632,0.266,1.332,37.554,8.288,0.806,37.554,8.288,0.806,0.679,0.408,0.361,0.971,-81.325,89.804,1.666,1.879,1.128,37.428,8.171,0.533,0.176
42,6.093,16.580,1.832,0.921,1.000,15.880,18.253,9.489,11.334,0.266,2.663,17.063,10.388,1.406,17.063,10.388,1.406,1.386,1.221,0.939,-20.758,-61.650,110.175,1.135,1.476,1.300,16.935,10.609,1.332,0.351
43,4.752,14.020,1.611,0.927,1.000,27.082,29.125,9.884,11.400,0.266,2.663,28.109,10.662,1.514,28.109,10.662,1.514,1.401,1.059,0.830,-23.167,-72.064,120.688,1.323,1.689,1.277,28.334,10.543,1.332,0.373
44,4.097,16.782,2.202,0.402,1.000,37.560,40.130,10.148,11.663,0.266,2.930,38.764,10.868,1.783,38.764,10.868,1.783,1.790,1.172,0.686,1.156,-40.486,99.912,1.527,2.610,1.709,38.284,10.609,1.598,0.351
45,4.812,14.269,1.698,0.901,1.000,23.788,25.962,9.818,11.400,0.266,2.930,24.890,10.584,1.609,24.890,10.584,1.609,1.291,1.151,0.849,-18.031,-77.377,110.751,1.122,1.521,1.355,24.776,10.148,1.332,0.308
46,1.259,5.943,1.073,0.854,1.000,14.958,16.210,12.586,13.640,0.266,2.131,15.548,13.108,1.172,15.548,13.108,1.172,0.905,0.697,0.578,80.183,78.584,-0.183,1.299,1.567,1.206,15.419,12.849,1.065,0.242
47,1.628,7.235,1.194,0.792,1.000,25.237,26.885,12.981,13.970,0.266,2.131,26.019,13.471,1.217,26.019,13.471,1.217,1.026,0.855,0.534,10.897,74.383,-77.186,1.199,1.921,1.602,25.896,13.245,1.065,0.242
48,1.325,6.333,1.186,0.782,1.000,22.140,23.656,12.915,14.167,0.266,1.864,22.860,13.517,1.101,22.860,13.517,1.101,0.969,0.760,0.532,-57.507,-56.759,148.878,1.275,1.821,1.429,22.602,13.706,0.799,0.198
49,1.397,7.316,1.242,0.564,1.000,39.141,41.316,13.442,14.233,0.266,2.131,40.198,13.845,1.138,40.198,13.845,1.138,1.178,0.898,0.403,3.617,4.981,-81.199,1.311,2.924,2.230,40.327,13.838,0.799,0.242
50,0.157,1.483,0.502,0.857,1.000,35.649,36.176,13.508,14.035,0.266,1.332,35.902,13.768,0.885,35.902,13.768,0.885,0.676,0.331,0.288,-84.742,-79.242,-169.452,2.043,2.351,1.151,35.780,13.706,0.799,0.176
51,1.922,8.001,1.218,0.816,1.000,51.397,53.111,13.640,14.760,0.266,2.131,52.253,14.212,1.189,52.253,14.212,1.189,1.128,0.887,0.534,-37.171,-65.755,129.249,1.272,2.110,1.659,52.056,14.035,1.065,0.264
52,8.435,28.158,2.964,0.360,1.000,45.137,48.432,13.113,14.892,0.266,4.527,46.808,13.935,2.484,46.808,13.935,2.484,2.403,1.587,0.790,10.639,76.760,-79.970,1.514,3.041,2.009,46.982,13.970,1.598,0.329
53,6.181,19.546,2.202,0.579,1.000,15.946,19.307,15.287,17.264,0.266,2.397,17.534,16.180,1.288,17.534,16.180,1.288,1.817,1.017,0.944,-1.030,-3.509,122.746,1.786,1.923,1.077,17.001,16.276,1.332,0.286
54,7.860,25.300,3.492,0.431,1.000,32.618,36.242,15.749,18.714,0.266,2.131,34.720,16.986,1.240,34.720,16.986,1.240,2.083,1.438,0.848,22.582,4.652,-19.783,1.448,2.457,1.697,34.726,16.342,1.065,0.242
